,FoodID,food_name,cook,taste,time,주재료
0,0,['돼지고기 당면 스튜'],['찜'],['일상적인 맛'],['30분'],"['당면','100g','배추','500g','삼겹살','100g']"
1,1,['고구마 뽑기'],['실을 뽑다'],['단맛'],['15분'],"['고구마','500g']"
2,2,['감자통닭'],['태우다'],['향긋한 맛'],['90분'],"['과수원닭','반마리','감자','500g','파프리카','10g','당근','20g','생강','1조각','마늘잎','3개']"
3,3,['동북대라피'],['비비다'],['일상적인 맛'],['10분'],"['라피','300g','당근(빨강)','1/2뿌리','오이','1뿌리','시금치','1줌','두부말랭이','2장','고수','1포기','돼지고기(마른)','100g']"
4,4,['지삼선'],['태우다'],['짠맛'],['30분'],"['감자','1개','풋고추','1개','가지','1개']"
5,5,['돼지 잡는 요리'],['끓이다'],['일상적인 맛'],['30분'],"['돼지대창','70g','돼지간','90g','돼지곱창','70g','산채','180g','돼지순대','100g','삼겹살','90g']"
6,6,['홍소갈비'],['태우다'],['짠맛'],['60분'],['갈비']
7,7,['달걀잼'],['볶다'],['짠맛'],['5분'],"['춘장','2봉지','계란','2개']"
8,8,['시금치 백육'],['끓이다'],['신맛'],['30분'],"['고추','300g','삼겹살','300g','팬','20g']"
9,9,['동북호랑이 요리'],['비비다'],['다른 맛'],['5분'],"['고수','1줌','고추','2개','오이','1뿌리','피망','2개','파백','적당량']"
10,10,['병아리 버섯찜'],['찜'],['짠맛'],['60분'],"['삼황계','1마리(약 500g)','건표고버섯','15개(약 25g)']"
11,11,['고기 수육 두부 뇌'],['볶다'],['일상적인 맛'],['10분'],"['두유','1000g','돼지고기','50g','오이','40g','홍초','5g','황초','5g','물','적당량']"
12,12,['동북 집밥 냉채'],['비비다'],['일상적인 맛'],['10분'],"['두부피','2장','배추','2장','오이','1뿌리','팬','1줌','당근','1뿌리']"
13,13,['가마보쌈'],['튀기다'],['새콤달콤한 맛'],['30분'],"['돼지 등심살','400g']"
14,14,['감자불고기'],['찜'],['장맛'],['60분'],"['소고기','500g','감자','1개']"
15,15,['전복찜'],['찌다'],['짠맛'],['5분'],"['전복','5마리']"
16,16,['동북마구찜'],['찜'],['짠맛'],['2시간'],"['돼지갈비','500g','감자','300g','가지(자색껍질, 길이)','150g','당근','1개']"
17,17,['가마보쌈'],['튀기다'],['새콤달콤한 맛'],['30분'],"['등심살','3냥 정도','대파흰','적당량','당근','적당량','계란','1개']"
18,18,['어향계란'],['볶다'],['생선 냄새'],['10분'],"['달걀','3개','풋고추','1개','목이버섯','5그램','레드피망','1개']"
19,19,['동북구운 냉면'],['굽다'],['짠맛'],['15분'],"['냉면','300g','계란','6개','고수','50g','풋마늘','2포기']"
